Sr. No,"1.	Age:","2.	Gender","3.	Percentage /CGPA in the last Degree ",A. Bachelor in which discipline(Department  name):,B. Masters in which discipline(Department  name):,C. Any extra course:,5.  Year of passing the last education,"6.	The number of interviews faced.","7.	Marital Status",A. If married then Spouse(husband/wife) Occupation,"8.	I think my curriculum was sufficient for my present career.","9.	My personality is a perfect match for my career. ","10.	I am satisfied with the skills I have achieved along with my career","11.	I am able to apply my conceptual/technical skills in my career journey. ","12.	I am satisfied with the progress I have made toward meeting my goals for income. ","13.	I am satisfied with the progress I have made toward meeting my goals for career advancement. ","14.	I am satisfied with the progress I have made toward meeting the challenging task at my work. ","15.	 I am contented with my career even if I don’t get job. ","16.	I can work in a domain different from my educational background. ","17.	I would like to change my current career if I find better opportunities elsewhere. ","18.	Based on my career I can never remain unemployed","19.	I’m satisfied with the status I have in society due to my career. ",20.  My family supports me during ups and downs in my career.,"21.	I am satisfied with the progress I have made toward meeting my overall career goals",23.  Number of dependents in the family,"22.	I think I can have better performance in my career if had exposure to","24.	I need to acquire a few more skills through additional courses for the betterment of my career","B.	I need to acquire a few more skills through additional courses for the betterment of my career","25.	I will continue with my present career.",if no then reason,if yes then reason,I’m currently ,1. Occupation,"2.	Designation","4.	Current working domain","3.	Company/organization/institute Sector","5.	Years of work Experience ",6. What type of work are you doing?,"7..	How many times have you switched your Job / Business?",8. I’m satisfied with the work I do.,9. My work allows me to use a variety of skills and abilities.,10. My location is appropriate for my career growth.,11. I’m satisfied with the income based on my work.,12. I’m happy with the amount of time spent at work.,13. I have growth and advancement opportunity based on my work.,14. I’m able to maintain a balance between work and personal life,15. I would like to change my current job if I find better opportunities elsewhere.,"16. 	I am working in a domain different from my educational background. ","1.  As of now, I am occupied in my personal engagements.",2. I’m currently busy in doing further study.,3. I am not really looking for a job.,4.  I have done job before and may look for one in near future,5.  I am not happy with available job opportunities and salary offered.,6.  There is very less opportunity based on my educational background.,7. I am waiting for the desired job.,8. For getting a job I am ready to change my present location.,9. My focus is on government exams at present.,1) 10th Result marks [Science ],1) 10th Result marks [Mathematics],1) 10th Result marks [Overall result in % ],Science stream and subjects liking related Questions [I am happy with my decision of choosing science.],Science stream and subjects liking related Questions [I like to study Physics],Science stream and subjects liking related Questions [I like to study Mathematics],Science stream and subjects liking related Questions [I like to study Chemistry],Science stream and subjects liking related Questions [I chose science stream as it has increased my opportunities of choosing the career of my interest.],"On a 1-10 scale, 10 being highest, rate your subjects liking [Physics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Chemistry]","On a 1-10 scale, 10 being highest, rate your subjects liking [Mathematics]","On a 1-10 scale, 10 being highest, rate your subjects liking [Computer]","On a 1-10 scale, 10 being highest, rate your subjects liking [English]",Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest ,Tick the below based on your interest 
436,23-25,Male,70-79,Mathematics ,Mathematics ,No,2017,2,Unmarried,,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,2,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,No,No,Yes,,No,Working,Job,Team lead marketing,Market research ,Private,1,Office Work,1,Neutral,Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,No,,,,,,,,,,60-69,50-59,60-69,Neutral,Neutral,Neutral,Neutral,Neutral,2,3,2,3,1,"Producing tangible results;Fixing things;Constructing, building;Making things work;Action-oriented activities;Repairing, refinishing",Solving abstract problems;Analyzing information;Exploring theories;Collecting data;Detailed activities,Composing music;Decorating;Being expressive,"Building relationships;Listening to people;Encouraging;Teaching, instructing",Chairing committees;Competing;Being an entrepreneur;Negotiating,Keeping records;Attention to detail;Creating efficiency;Performing calculations;Following the rules
437,23-25,Female,80-89,Education,Mathematics ,B Ed,2017,3,Unmarried,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,None,Technical/programming Skills;Interactive Session;Practical Applications,No,No,Yes,,I am satisfied,Working,self-employed,Teaching,Education,Government,1,Office Work,0,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,No,,,,,,,,,,90-100,90-100,80-89,Strongly Agree,Agree,Strongly Agree,Agree,Agree,2,2,3,3,3,"Fixing things;Constructing, building;Making things work;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Exploring theories;Collecting data;Developing knowledge,Decorating;Designing;Reading;Being Emotional;Being expressive;Being brave and daring,"Supporting others;Communication;Listening to people;Teaching, instructing;Coaching, training",Competing;Asserting ideas;Taking risks,"Keeping records;Making charts, graphs;Using computer software;Conducting analyses;Following the rules"
438,26-28,Female,60-69,Textile Technology,Fashion Technology from NIFT,No,2014,more than 3,Unmarried,,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,None,"Soft skills;Interactive Session;Practical Applications;To understand the offset carrier choices , like becoming Pilot, Air hostess , going to Service for the country etc.. this were never explained at the right age.",Sure. Supply chain management course might help.,,Yes,,I love the challenges I have in my job and the dynamics of it.,Working,Job,Supply Production Leader for Synthetic Yarn Process,Synthetic yarn Industry,Private,3,Office Work,1,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,No,,,,,,,,,,80-89,80-89,80-89,Agree,Agree,Agree,Neutral,Neutral,8,6,7,8,8,Producing tangible results;Fixing things;Making things work;Action-oriented activities;Solving problems,Solving abstract problems;Analyzing information;Detailed activities;Developing knowledge;Designing systems,Being Emotional;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Asserting ideas;Taking risks;Being an entrepreneur;Negotiating","Keeping records;Making charts, graphs;Attention to detail;Creating efficiency;Following the rules"
439,26-28,Female,60-69,BBA,MBA,No,2015,0,Unmarried,,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,3,Practical Applications,Yes ,,Yes,,I am satisfied with my present job,Working,Job,Executive  - Admin n Commercial ,Pharmaceutical,Private,3,Office Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Yes,,,,,,,,,,50-59,50-59,60-69,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,1,1,2,3,3,Working with my hands;Solving problems,Analyzing information;Learning new facts;Developing knowledge,Being brave and daring,"Supporting others;Communication;Encouraging;Teaching, instructing",Competing,Keeping records;Writing reports;Creating efficiency
440,26-28,Female,60-69,Bachleor in commerce,MBA,No,2016,2,Married,Business,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly disagree,Neutral,Agree,Strongly Agree,Strongly Agree,None,Soft skills;Technical/programming Skills;Interactive Session,Marketing,No,Yes,,I want to  fulfill my goal,Working,Job,Genral accounting,Chemical,Private,2,Office Work,0,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,No,,,,,,,,,,50-59,60-69,50-59,Neutral,Neutral,Neutral,Neutral,Neutral,1,2,3,4,3,"Producing tangible results;Constructing, building;Action-oriented activities;Working with my hands",Solving abstract problems;Conducting research;Detailed activities,Designing;Being Emotional,Working in groups;Supporting others;Building relationships,"Speaking in public;Persuading, influential;Asserting ideas",Keeping records;Conducting analyses
441,23-25,Male,70-79,Mechanical Engineering,,Certificate cource in Avian Health Management ,2017,more than 3,Unmarried,,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,3,Soft skills;Technical/programming Skills;Interactive Session;Practical Applications,Technical Cource,,Yes,,Right now I have opportunity to work independently.,Working,Job,Junior Technical Officer,Steel Plant,Business,2,Field Work,0,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Yes,,,,,,,,,,80-89,90-100,80-89,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,7,8,10,9,9,Producing tangible results;Fixing things;Making things work;Action-oriented activities;Working with my hands;Solving problems;Using equipment,Conducting research;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,"Designing;Writing poetry, stories;Being expressive;Being brave and daring","Working in groups;Supporting others;Building relationships;Communication;Listening to people;Collaborating;Encouraging;Teaching, instructing;Coaching, training","Speaking in public;Debating ideas;Persuading, influential;Chairing committees;Competing;Asserting ideas;Taking risks;Negotiating","Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Creating efficiency;Performing calculations;Following the rules"
442,23-25,Female,70-79,Chemistry,Chemistry,No,2018,2,Unmarried,,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,None,Soft skills;Interactive Session;Practical Applications,No,No,Yes,,Good scope ,Non-Working,,,,,,,,,,,,,,,,,Disagree,Neutral,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Neutral,Disagree,,,,,,,,,,,,,,,,,,,
443,23-25,Female,70-79,Bsc,,No,2017,0,Unmarried,,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,None,Soft skills,Communication skills,,Yes,,It is field of my interest,Non-Working,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Strongly Disagree,Agree,,,,,,,,,,,,,,,,,,,
444,Below 23,Female,60-69,Chemistry ,,No,2017,0,Unmarried,,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,Technical/programming Skills,Yes,,Yes,,Because i am good in chemistry and i think i am made for it.,Non-Working,,,,,,,,,,,,,,,,,Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,,,,,,
445,26-28,Male,60-69,Department of mathematics,Department of mathematics,B.ed.,2017,more than 3,Unmarried,,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,more than 3,Technical/programming Skills,No,No,Yes,,Bcoz teaching is my passion so i will continue it,Working,Job,Teacher,Education,Private,3,Field Work,2,Agree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Strongly Agree,Yes,,,,,,,,,,60-69,90-100,70-79,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,5,9,10,10,9,Producing tangible results;Action-oriented activities;Solving problems;Using equipment,Solving abstract problems;Learning new facts;Collecting data;Developing knowledge,Reading;Being Emotional;Being brave and daring,"Working in groups;Communication;Listening to people;Teaching, instructing;Coaching, training",Speaking in public;Debating ideas,"Keeping records;Making charts, graphs;Performing calculations;Following the rules"
446,Below 23,Female,60-69,Chemistry ,,No,2018,2,Unmarried,,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,None,Practical Applications,No,No,Yes,,Because i like my field ,Non-Working,,,,,,,,,,,,,,,,,Agree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,,,,,,,,,,,,,,,,,,,
447,23-25,Male,60-69,Textile engineering,,No,2017,3,Unmarried,,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Strongly disagree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Neutral,more than 3,Practical Applications,No,No,Yes,,Yes,Working,Job,Planning in charge,Clothing,Private,2,Field Work,2,Neutral,Agree,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,No,,,,,,,,,,70-79,70-79,70-79,Agree,Agree,Agree,Disagree,Neutral,8,4,10,7,7,"Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Collecting data,Designing,"Working in groups;Building relationships;Teaching, instructing",Speaking in public;Competing;Taking risks;Being an entrepreneur;Negotiating,Keeping records;Creating efficiency;Performing calculations;Following the rules
448,Below 23,Male,70-79,Metallurgy Engineering Department,No,No,2018,2,Unmarried,,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Strongly disagree,Disagree,Neutral,Agree,Strongly Agree,Neutral,2,Interactive Session,No,No,Yes,,"Currently i am working with adani group, who are going to build a world's largest copper plant & i am the one working with the group from the planning stage.",Working,self-employed,Sr. Engineer,Project,Business,1,Office Work,0,Agree,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Disagree,No,,,,,,,,,,60-69,60-69,60-69,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,8,9,10,9,9,Making things work;Working with my hands;Solving problems,Conducting research;Learning new facts,Decorating;Reading,Working in groups;Building relationships;Communication;Listening to people,Debating ideas;Taking risks,"Keeping records;Making charts, graphs"
449,23-25,Male,60-69,Chemistry,Organic chemistry,No,2017,more than 3,Unmarried,,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,2,Technical/programming Skills;Interactive Session;Practical Applications,Yes,,Yes,,I will continue with my career unless i find better opportunity in future,Non-Working,,,,,,,,,,,,,,,,,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,
450,26-28,Female,50-59,Chemistry ,,No,2014,more than 3,Married,Job,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,3,Practical Applications,No,,No,Responsibility ,,Non-Working,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,,,,,,,,,,,,,,,,,,,
451,26-28,Male,70-79,Textile Engineering,,NA,2014,more than 3,Unmarried,,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,1,Interactive Session,No,No,Yes,,As since people are diverting more towards commercial fields and my career has given exposure for both technical and commercial aspects experience,Working,Job,Assistant sales Manager,Sales and Marketing,Private,5,Office Work,2,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,No,,,,,,,,,,90-100,80-89,80-89,Strongly Agree,Agree,Agree,Disagree,Agree,8,5,8,7,7,Fixing things;Action-oriented activities;Working with my hands;Solving problems,Analyzing information;Conducting research;Exploring theories;Collecting data;Developing knowledge,Being Emotional,Supporting others;Building relationships;Communication;Listening to people;Encouraging,Competing;Asserting ideas;Negotiating,Writing reports;Attention to detail;Creating efficiency
452,26-28,Male,70-79,Chemistry ,,No,2015,2,Unmarried,,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,3,Interactive Session;Practical Applications,Dedication to work,,Yes,,Interest,Working,Job,QC assistant ,Chemical ,Private,3,Office Work,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,No,,,,,,,,,,60-69,60-69,60-69,Agree,Agree,Neutral,Agree,Agree,6,8,6,7,7,Making things work,Developing knowledge,Playing instruments;Designing,Building relationships;Listening to people;Collaborating,Debating ideas,Attention to detail;Conducting analyses;Creating efficiency
453,23-25,Female,50-59,Chemistry,,NA,2018,1,Unmarried,,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,2,Master degree,Master degree ,No,Yes,,Because i like chemistry,Working,Job,Jr executive,Pharmaceutical,Private,2,Office Work,0,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,,,,,,,,,,60-69,80-89,80-89,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,10,1,10,5,7,"Constructing, building;Working with my hands;Solving problems;Using equipment",Solving abstract problems;Conducting research;Learning new facts;Collecting data,Decorating;Designing,"Teaching, instructing",Speaking in public;Taking risks,"Making charts, graphs;Creating efficiency;Performing calculations"
454,26-28,Female,70-79,Chemistry ,No,No,2014,more than 3,Married,Job,Neutral,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,3,Interactive Session;Practical Applications,Nothing ,No,No,Don't want to work,,Non-Working,,,,,,,,,,,,,,,,,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,,,,,,,,
455,23-25,Female,50-59,botany,environmental science ,health and fitness ,2018,more than 3,Unmarried,,Neutral,Neutral,Disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,1,Technical/programming Skills;Interactive Session;Practical Applications,no,No,Yes,,there is no other scope right now,Working,Job,environmental chemist,environmental consultancy ,Private,1,Office Work,0,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Agree,Agree,No,,,,,,,,,,70-79,40-49,60-69,Neutral,Disagree,Disagree,Neutral,Neutral,4,7,3,7,9,Fixing things;Making things work;Solving problems;Using equipment,Solving abstract problems;Analyzing information;Learning new facts;Exploring theories;Collecting data;Detailed activities;Developing knowledge;Designing systems,Composing music;Decorating;Designing;Reading;Being brave and daring,"Supporting others;Collaborating;Encouraging;Teaching, instructing;Coaching, training",Chairing committees;Taking risks;Being an entrepreneur;Negotiating,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Conducting analyses"
456,26-28,Male,70-79,Chemical engineering ,Petrochemical Technology ,No,2018,more than 3,Unmarried,,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Disagree,Strongly disagree,Strongly Agree,Agree,Strongly Agree,Agree,2,Soft skills;Interactive Session,No,No,Yes,,I m satisfied with what I have now,Working,Job,Temporary lLcturer ,Academic,Government,2,Field Work,0,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,No,,,,,,,,,,90-100,90-100,90-100,Agree,Neutral,Strongly Agree,Agree,Neutral,5,6,9,10,5,"Producing tangible results;Fixing things;Constructing, building;Making things work;Action-oriented activities;Working with my hands;Solving problems;Repairing, refinishing;Using equipment",Solving abstract problems;Analyzing information;Conducting research;Learning new facts;Collecting data;Detailed activities;Developing knowledge;Designing systems,Decorating;Designing,"Listening to people;Teaching, instructing;Coaching, training",Asserting ideas,"Keeping records;Making charts, graphs;Writing reports;Attention to detail;Using computer software;Conducting analyses;Creating efficiency;Performing calculations;Following the rules"
457,Below 23,Female,60-69,Bsc chemistry ,,B.Ed,2018,more than 3,Unmarried,,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly disagree,Agree,Neutral,Agree,Agree,2,Soft skills,No,No,Yes,,As I have passion for it,Non-Working,,,,,,,,,,,,,,,,,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,,,,,,,,,,,,,,,,,,,
458,26-28,Female,80-89,Mining Engineering (GTU),Environmental Science,B.Ed,2018,3,Married,Self employed,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,None,Technical/programming Skills;Practical Applications,Programming skills,,Yes,,I enjoy it,Working,Job,Assistant Teacher,Education,Private,2,Office Work,1,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Neutral,Yes,,,,,,,,,,80-89,80-89,80-89,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,6,8,7,7,6,"Constructing, building;Making things work;Solving problems",Analyzing information;Learning new facts;Exploring theories;Developing knowledge,Decorating;Reading;Being expressive;Being brave and daring,"Working in groups;Supporting others;Building relationships;Listening to people;Encouraging;Teaching, instructing","Debating ideas;Persuading, influential;Negotiating",Writing reports;Performing calculations;Following the rules
